date,name,pattern
2022-09-05,Labor Day,
2022-10-10,Fall Break,
2022-10-11,Fall Break,
2022-11-01,Advising,
2022-11-02,Advising,
2022-11-23,Thanksgiving,
2022-11-24,Thanksgiving,
2022-11-25,Thanksgiving,
2022-12-08,Study,END_OF_SEMESTER
2023-02-27,Spring Break,
2023-02-28,Spring Break,
2023-03-01,Spring Break,
2023-03-02,Spring Break,
2023-03-03,Spring Break,
2023-03-21,Advising,
2023-03-22,Advising,
2023-04-07,Good Friday,
2023-04-10,Easter Monday,
2023-04-20,Thursday with Friday schedule,F
2023-04-21,Exams Start,END_OF_SEMESTER
2023-09-04,Labor Day,
2023-10-13,Fall Break,
2023-10-16,Fall Break,
2023-10-17,Advising,
2023-10-18,Advising,
2023-11-22,Thanksgiving,
2023-11-23,Thanksgiving,
2023-11-24,Thanksgiving,
2023-12-08,Study,END_OF_SEMESTER
2024-01-15,MLK Day,
2024-03-04,Spring Break,
2024-03-05,Spring Break,
2024-03-06,Spring Break,
2024-03-07,Spring Break,
2024-03-08,Spring Break,
2024-03-20,Advising,
2024-03-21,Advising,
2024-03-29,Good Friday,
2024-04-01,Easter Monday,
2024-04-27,Exams Start,END_OF_SEMESTER
2024-05-24,Memorial Day,
2024-05-27,Memorial Day,
2023-06-19,Juneteenth,
2024-07-03,Independence Day,
2024-07-04,Independence Day,
2024-07-05,Independence Day,
2024-08-17,Exams Start,END_OF_SEMESTER
2024-09-02,Labor Day,
2024-10-18,Fall Break,
2024-10-21,Fall Break,
2024-10-22,Advising,
2024-10-23,Advising,
2024-11-27,Thanksgiving,
2024-11-28,Thanksgiving,
2024-11-29,Thanksgiving,
2024-12-13,Study,END_OF_SEMESTER
2025-01-20,MLK Day,
2025-03-10,Spring Break,
2025-03-11,Spring Break,
2025-03-12,Spring Break,
2025-03-13,Spring Break,
2025-03-14,Spring Break,
2025-03-26,Advising,
2025-03-27,Advising,
2025-04-18,Good Friday,
2025-04-21,Easter Monday,
2025-05-03,Exams Start,END_OF_SEMESTER
2025-09-01,Labor Day,
2025-09-11,Drop Date,ADVISORY
2025-10-17,Fall Break,
2025-10-20,Fall Break,
2025-10-21,Advising,
2025-10-22,Advising,
2025-11-26,Thanksgiving,
2025-11-27,Thanksgiving,
2025-11-28,Thanksgiving,
2025-12-12,Study,END_OF_SEMESTER
2026-01-19,MLK Day,
2026-01-29,Drop Date,ADVISORY
2026-03-09,Spring Break,
2026-03-10,Spring Break,
2026-03-11,Spring Break,
2026-03-12,Spring Break,
2026-03-13,Spring Break,
2026-03-25,Advising,
2026-03-26,Advising,
2026-04-03,Good Friday,
2026-04-06,Easter Monday,
2026-05-02,Exams Start,END_OF_SEMESTER
